	Mazeshetek	Delphi forever	asdf	Nullptr	Syntax Error	auto matically	The Game	The Hypnotoad	NotEnoughBeerException	Gentlemen	Kickbox terminátor	Elvont Gyár	PraiseTheSun	bob	SemiSquad	figyelő zokni	Blame Rejci 4 Everything	Féregjárat	DreamCode	A kis hableány barátai	TODO teamname	Creatine	Deep Team	kokkolino	JaniEsaTibik	Buggy the Clown	Dev OPZ	Wololo	Kódlapátolók	ANIP
12:00	1	4	2	30	3	15	5	10	18	23	11	6	27	7	8	12	13	17	14	9	21	80	16	31	33	19	22	32	24	25
13:00	3	2	1	28	4	15	5	10	18	25	11	6	13	7	8	12	14	19	27	9	21	80	16	30	34	17	23	33	26	29
14:00	23	2	1	3	4	19	5	12	6	29	13	8	11	7	9	14	16	21	27	10	20	80	17	32	34	18	25	15	28	30
15:00	3	2	1	4	5	18	6	10	24	28	13	12	8	7	9	14	15	20	26	11	19	80	16	31	22	17	25	33	27	29
16:00	3	2	1	23	4	27	5	11	6	18	13	8	9	7	10	14	16	25	17	12	21	80	19	31	24	20	26	15	28	29
17:00	1	2	3	25	4	5	6	12	7	18	28	8	10	9	11	15	16	24	17	13	21	48	20	31	32	19	26	14	29	27
18:00	1	2	3	25	4	5	6	12	7	18	8	9	29	10	11	15	16	21	17	13	20	52	19	31	32	24	26	14	27	28
19:00	1	2	3	15	4	5	6	13	7	20	8	9	10	12	14	17	18	22	19	11	25	44	23	31	32	21	28	16	29	26
19:30	1	2	3	4	5	6	7	14	8	20	9	10	11	13	15	16	18	22	19	12	25	44	23	32	33	21	30	17	29	27
20:00	1	27	2	3	4	5	6	15	7	20	8	9	10	12	13	14	17	21	18	11	25	45	23	32	33	22	30	16	29	19
20:30	1	24	2	3	4	5	6	14	7	29	8	9	10	11	12	13	15	20	17	30	25	42	22	32	33	21	27	16	28	18
21:00	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	24	20	14	27	43	32	28	34	25	29	19	30	21
21:30	1	2	3	4	5	6	7	8	9	10	11	12	13	15	16	17	18	20	21	14	26	27	31	28	34	24	29	19	30	22
22:00	1	2	3	4	5	6	7	8	9	10	11	16	12	13	14	15	17	19	20	18	24	26	23	25	33	27	28	29	30	21
22:30	1	2	3	4	5	6	7	30	8	9	10	11	12	13	14	15	16	17	18	21	24	26	22	25	32	23	27	28	29	19
23:00	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
